sepal.length	sepal.width	petal.length	petal.width	variety	sepalProd	petalProd
5.1	3.5	1.4	0.2	Iris-setosa    	17.8	0.3
4.9	3	1.4	0.2	Iris-setosa    	14.7	0.3
4.7	3.2	1.3	0.2	Iris-setosa    	15	0.3
4.6	3.1	1.5	0.2	Iris-setosa    	14.3	0.3
5	3.6	1.4	0.2	Iris-setosa    	18	0.3
5.4	3.9	1.7	0.4	Iris-setosa    	21.1	0.7
4.6	3.4	1.4	0.3	Iris-setosa    	15.6	0.4
5	3.4	1.5	0.2	Iris-setosa    	17	0.3
4.4	2.9	1.4	0.2	Iris-setosa    	12.8	0.3
4.9	3.1	1.5	0.1	Iris-setosa    	15.2	0.2
5.4	3.7	1.5	0.2	Iris-setosa    	20	0.3
4.8	3.4	1.6	0.2	Iris-setosa    	16.3	0.3
4.8	3	1.4	0.1	Iris-setosa    	14.4	0.1
4.3	3	1.1	0.1	Iris-setosa    	12.9	0.1
5.8	4	1.2	0.2	Iris-setosa    	23.2	0.2
5.7	4.4	1.5	0.4	Iris-setosa    	25.1	0.6
5.4	3.9	1.3	0.4	Iris-setosa    	21.1	0.5
5.1	3.5	1.4	0.3	Iris-setosa    	17.8	0.4
5.7	3.8	1.7	0.3	Iris-setosa    	21.7	0.5
5.1	3.8	1.5	0.3	Iris-setosa    	19.4	0.4
5.4	3.4	1.7	0.2	Iris-setosa    	18.4	0.3
5.1	3.7	1.5	0.4	Iris-setosa    	18.9	0.6
4.6	3.6	1	0.2	Iris-setosa    	16.6	0.2
5.1	3.3	1.7	0.5	Iris-setosa    	16.8	0.8
4.8	3.4	1.9	0.2	Iris-setosa    	16.3	0.4
5	3	1.6	0.2	Iris-setosa    	15	0.3
5	3.4	1.6	0.4	Iris-setosa    	17	0.6
5.2	3.5	1.5	0.2	Iris-setosa    	18.2	0.3
5.2	3.4	1.4	0.2	Iris-setosa    	17.7	0.3
4.7	3.2	1.6	0.2	Iris-setosa    	15	0.3
4.8	3.1	1.6	0.2	Iris-setosa    	14.9	0.3
5.4	3.4	1.5	0.4	Iris-setosa    	18.4	0.6
5.2	4.1	1.5	0.1	Iris-setosa    	21.3	0.2
5.5	4.2	1.4	0.2	Iris-setosa    	23.1	0.3
4.9	3.1	1.5	0.1	Iris-setosa    	15.2	0.2
5	3.2	1.2	0.2	Iris-setosa    	16	0.2
5.5	3.5	1.3	0.2	Iris-setosa    	19.2	0.3
4.9	3.1	1.5	0.1	Iris-setosa    	15.2	0.2
4.4	3	1.3	0.2	Iris-setosa    	13.2	0.3
5.1	3.4	1.5	0.2	Iris-setosa    	17.3	0.3
5	3.5	1.3	0.3	Iris-setosa    	17.5	0.4
4.5	2.3	1.3	0.3	Iris-setosa    	10.3	0.4
4.4	3.2	1.3	0.2	Iris-setosa    	14.1	0.3
5	3.5	1.6	0.6	Iris-setosa    	17.5	1
5.1	3.8	1.9	0.4	Iris-setosa    	19.4	0.8
4.8	3	1.4	0.3	Iris-setosa    	14.4	0.4
5.1	3.8	1.6	0.2	Iris-setosa    	19.4	0.3
4.6	3.2	1.4	0.2	Iris-setosa    	14.7	0.3
5.3	3.7	1.5	0.2	Iris-setosa    	19.6	0.3
